ID,sample,d15n.a,d15n.b,d15n.c,d15n.d,d15n.e,d15n.f,d15n.g,d15n.h,d15n.i,d15n.j,d15n.k,d15n.l,d15n.m,d15n.n,d15n.o,avg.d15n,sd.d15n,d13c.a,d13c.b,d13c.c,d13c.d,d13c.e,d13c.f,d13c.g,d13c.h,d13c.i,d13c.j,d13c.k,d13c.l,d13c.m,d13c.n,d13c.o,avg.d13c,sd.d13c
jack-4907-BAM1,1,9.480566921,9.148043423,8.996348413,,,,,,,,,,,9.273574714,9.130647544,9.21,0.2,-17.65441865,-15.0958098,-15.04609852,,,,,,,,,,,-16.78340008,-16.28525039,-16.91,0.7
jack-4907-BAM1,2,8.871777677,8.425734072,8.930044634,8.148663932,8.635426925,8.897996174,8.306205481,8.944450733,8.748095552,9.234233558,9.254363496,8.62832242,8.445139983,8.9973612,8.780488894,8.75,0.3,-16.92701082,-14.95377759,-15.32001779,-16.35794878,-16.30833423,-16.1625282,-16.4116135,-16.24049393,-17.82303855,-16.60254034,-16.49047456,-16.66366713,-16.24291107,-16.20403916,-15.77177622,-16.48,0.5
jack-4907-BAM1,3,9.242476078,8.859722444,8.837621184,,,,,,,,,,,9.68839719,8.715906319,9.07,0.4,-16.93411243,-15.24900168,-15.24697265,,,,,,,,,,,-16.25494961,-15.79944848,-16.33,0.6
jack-4907-BAM1,4,9.093794876,8.950136688,8.734147105,,,,,,,,,,,9.159071657,8.412166395,8.87,0.3,-16.86411084,-15.12624527,-15.28146619,,,,,,,,,,,-16.1521105,-15.83019544,-16.28,0.5
jack-4907-BAM1,5,9.150052628,9.103840903,8.822552144,,,,,,,,,,,9.477470507,8.811771079,9.07,0.3,-16.26960458,-14.39072132,-14.94870501,,,,,,,,,,,-16.12461886,-16.40311372,-16.27,0.1
jack-4907-BAM1,6,9.127951369,8.818533733,8.421715661,,,,,,,,,,,8.857747824,8.411157292,8.73,0.3,-16.63381575,-15.17697106,-14.92740017,,,,,,,,,,,-15.9708693,-15.39153887,-16.00,0.6
jack-4907-BAM1,7,8.695972202,8.557337027,8.474959605,,,,,,,,,,,9.195230517,7.990361451,8.58,0.4,-16.70178831,-13.29098619,-14.95580662,,,,,,,,,,,-16.12461886,-15.38538947,-16.07,0.7
jack-4907-BAM1,8,,,,,,,,,,,,,,9.16007607,7.9348608,8.55,0.9,,,,,,,,,,,,,,-15.91690422,-15.95523306,-15.94,0.0
jack-4907-BAM1,9,,,,,,,,,,,,,,9.504589652,8.294101375,8.90,0.9,,,,,,,,,,,,,,-15.63078749,-15.44585849,-15.54,0.1
jack-4907-BAM1,10,,,,,,,,,,,,,,8.698046192,7.469664438,8.08,0.9,,,,,,,,,,,,,,-15.99123348,-15.05434725,-15.52,0.7
jack-4907-BAM1,11,,,,,,,,,,,,,,8.441920934,7.742122177,8.09,0.5,,,,,,,,,,,,,,-15.48111077,-15.57089611,-15.53,0.1
jack-4907-BAM1,12,,,,,,,,,,,,,,9.233398202,8.261810087,8.75,0.7,,,,,,,,,,,,,,-16.09814542,-15.25420246,-15.68,0.6
jack-4907-BAM1,13,,,,,,,,,,,,,,8.736213878,7.777440773,8.26,0.7,,,,,,,,,,,,,,-16.03298005,-15.66313698,-15.85,0.3
jack-4907-BAM1,14,,,,,,,,,,,,,,8.730187401,8.088244416,8.41,0.5,,,,,,,,,,,,,,-15.66642481,-15.40793724,-15.54,0.2
jack-4907-BAM1,15,,,,,,,,,,,,,,9.08072746,7.645248314,8.36,1.0,,,,,,,,,,,,,,-15.53914868,-15.52990017,-15.53,0.0
jack-4907-BAM1,16,,,,,,,,,,,,,,8.543366625,8.741133888,8.64,0.1,,,,,,,,,,,,,,-15.94032303,-15.66416188,-15.80,0.2
jack-4907-BAM1,17,,,,,,,,,,,,,,8.736213878,8.489867306,8.61,0.2,,,,,,,,,,,,,,-15.9148678,-16.07822088,-16.00,0.1
jack-4907-BAM1,18,,,,,,,,,,,,,,9.218332011,9.150829599,9.18,0.0,,,,,,,,,,,,,,-15.78453705,-15.07894481,-15.43,0.5
jack-4907-BAM1,19,,,,,,,,,,,,,,9.599004453,8.774434278,9.19,0.6,,,,,,,,,,,,,,-15.18481195,-15.69285903,-15.44,0.4
jack-4907-BAM1,20,,,,,,,,,,,,,,8.478079794,8.902590326,8.69,0.3,,,,,,,,,,,,,,-15.61958719,-15.21935591,-15.42,0.3
jack-4907-BAM1,21,,,,,,,,,,,,,,8.148632403,8.811771079,8.48,0.5,,,,,,,,,,,,,,-15.85275705,-15.77382602,-15.81,0.1
jack-4907-BAM1,22,,,,,,,,,,,,,,9.186190802,9.373841304,9.28,0.1,,,,,,,,,,,,,,-15.90163109,-15.53912425,-15.72,0.3
jack-4907-BAM1,23,,,,,,,,,,,,,,9.079723048,9.271921928,9.18,0.1,,,,,,,,,,,,,,-15.83341108,-15.43150991,-15.63,0.3
jack-4907-BAM1,24,,,,,,,,,,,,,,9.310737986,9.29109488,9.30,0.0,,,,,,,,,,,,,,-15.67558869,-15.89168935,-15.78,0.2
jack-4907-BAM1,25,,,,,,,,,,,,,,9.194226104,9.4091599,9.30,0.2,,,,,,,,,,,,,,-15.6878072,-14.94365821,-15.32,0.5
jack-4907-BAM1,26,,,,,,,,,,,,,,9.122912797,8.90057212,9.01,0.2,,,,,,,,,,,,,,-15.959669,-15.68875944,-15.82,0.2
jack-4907-BAM1,27,,,,,,,,,,,,,,9.450351362,9.252748976,9.35,0.1,,,,,,,,,,,,,,-16.03501647,-15.60266796,-15.82,0.3
jack-4907-BAM1,28,,,,,,,,,,,,,,9.072692158,9.000473291,9.04,0.1,,,,,,,,,,,,,,-15.92097706,-16.18788503,-16.05,0.2
jack-4907-BAM1,29,,,,,,,,,,,,,,8.743244767,9.083219716,8.91,0.2,,,,,,,,,,,,,,-15.75093615,-15.7184815,-15.73,0.0
jack-4907-BAM1,30,,,,,,,,,,,,,,9.793860532,9.680608537,9.74,0.1,,,,,,,,,,,,,,-16.43720902,-16.40311372,-16.42,0.0
jack-4907-BAM1,31,,,,,,,,,,,,,,10.35432286,,10.35,#DIV/0!,,,,,,,,,,,,,,-15.76315466,,-15.76,#DIV/0!