Sample.ID,Ala,Asx,Glx,Ile,Leu,Pro,Val,Avg.Tr,Dev.Ala,Dev.Asx,Dev.Glx,Dev.Ile,Dev.Leu,Dev.Pro,Dev.Val,Sum.Chi,Sum.V,Trophic.Position,Phe,Gly,Ser,Tyr,Lys,,Avg.Src,Sample.ID2,Type,Region,Year.AD,Bulk.N
sav-4902-bc1_2,16.14,13.56,14.26,20.67,19.28,28.84,20.57,19.04571429,2.905714286,5.485714286,4.785714286,1.624285714,0.234285714,9.794285714,1.524285714,26.35428571,3.764897959,1.319736842,8.43,10.39,17.45,NA,NA,,12.09,Savannah Banks-4902,Black coral,Gulf Stream,1297,8.95
sav-4902-bc1_7,20.76,18.95,14.16,24.4,23.31,32.51,20.93,22.14571429,1.385714286,3.195714286,7.985714286,2.254285714,1.164285714,10.36428571,1.215714286,27.56571429,3.937959184,1.452631579,7.32,11.21,11.75,NA,NA,,10.09333333,Savannah Banks-4902,Black coral,Gulf Stream,1255,9.02
sav-4902-bc1_15,18.6,14.35,17.29,23.82,22.69,31.37,22.85,21.56714286,2.967142857,7.217142857,4.277142857,2.252857143,1.122857143,9.802857143,1.282857143,28.92285714,4.131836735,1.380263158,11,11.6,13.89,NA,NA,,12.16333333,Savannah Banks-4902,Black coral,Gulf Stream,1121,9.97
sav-4902-bc1_33,20.64,19.54,16.07,26.18,25.46,33.94,22.18,23.43,2.79,3.89,7.36,2.75,2.03,10.51,1.25,30.58,4.368571429,1,12.67,11.95,10.07,NA,NA,,11.56333333,Savannah Banks-4902,Black coral,Gulf Stream,903,9.77
sav-4902-bc1_61,21.57,18.74,16.09,23.82,26.26,34.11,22.05,23.23428571,1.664285714,4.494285714,7.144285714,0.585714286,3.025714286,10.87571429,1.184285714,28.97428571,4.139183673,1.223684211,10.99,11.06,11.75,NA,NA,,11.26666667,Savannah Banks-4902,Black coral,Gulf Stream,578,8.26
sav-4902-bc1_66,20.78,19.93,18.35,23.93,23.34,32.52,20.67,22.78857143,2.008571429,2.858571429,4.438571429,1.141428571,0.551428571,9.731428571,2.118571429,22.84857143,3.264081633,1.455263158,11.49,11.65,11.39,NA,NA,,11.51,Savannah Banks-4902,Black coral,Gulf Stream,540,8.18
sav-4902-bc1_115,19.92,20.54,18.07,23.37,23.09,33.48,20.37,22.69142857,2.771428571,2.151428571,4.621428571,0.678571429,0.398571429,10.78857143,2.321428571,23.73142857,3.390204082,1.768421053,8.83,13.01,14.23,NA,NA,,12.02333333,Savannah Banks-4902,Black coral,Gulf Stream,0,8.62
jack-4907-bc1_23,19.3,14.51,16.93,19.18,19.41,25.5,14.78,18.51571429,0.784285714,4.005714286,1.585714286,0.664285714,0.894285714,6.984285714,3.735714286,18.65428571,2.664897959,1.351315789,10.86,10.4,11.13,NA,NA,,10.79666667,Jacksonville-4907,Black coral,Gulf Stream,485,8.69
jack-4907-bc1_55,18.34,13.32,17.3,20.34,21.3,26.49,17.62,19.24428571,0.904285714,5.924285714,1.944285714,1.095714286,2.055714286,7.245714286,1.624285714,20.79428571,2.970612245,1.034210526,13.64,12.45,10.49,NA,NA,,12.19333333,Jacksonville-4907,Black coral,Gulf Stream,-9,8.95
jack-4907-bc1_56,15.23,12.31,15.48,19.69,19.25,25,16.89,17.69285714,2.462857143,5.382857143,2.212857143,1.997142857,1.557142857,7.307142857,0.802857143,21.72285714,3.103265306,1.322368421,9.63,11.08,5.22,NA,NA,,8.643333333,Jacksonville-4907,Black coral,Gulf Stream,-25,8.99
jack-4907-bc1_134,14.05,14.45,14.45,19.96,16.8,26.04,15.19,17.27714286,3.227142857,2.827142857,2.827142857,2.682857143,0.477142857,8.762857143,2.087142857,22.89142857,3.270204082,1.222368421,9.36,12.5,7.65,NA,NA,,9.836666667,Jacksonville-4907,Black coral,Gulf Stream,-607,8.21
jack-4684-bc1_36,15.57,13.51,14.32,20.8,18.55,26.38,17.01,18.02,2.45,4.51,3.7,2.78,0.53,8.36,1.01,23.34,3.334285714,1.893421053,4.13,8.63,5.95,NA,NA,,6.236666667,Jacksonville-4684,Black coral,Gulf Stream,1892,8.99
jack-4684-bc1_39,15.48,14.02,14.55,21.39,19.09,26.01,16.2,18.10571429,2.625714286,4.085714286,3.555714286,3.284285714,0.984285714,7.904285714,1.905714286,24.34571429,3.477959184,2.284210526,1.39,9.31,7.3,NA,NA,,6,Jacksonville-4684,Black coral,Gulf Stream,1887,9.03
jack-4684-bc1_41,15.31,11.76,13.98,19.51,18.58,25.83,16.13,17.3,1.99,5.54,3.32,2.21,1.28,8.53,1.17,24.04,3.434285714,1.614473684,5.91,9.57,7.18,NA,NA,,7.553333333,Jacksonville-4684,Black coral,Gulf Stream,1883,8.31
jack-4684-bc1_85,14.7,14.19,15.99,21.06,18.38,24.91,15.1,17.76142857,3.061428571,3.571428571,1.771428571,3.298571429,0.618571429,7.148571429,2.661428571,22.13142857,3.161632653,1.767105263,6.76,10.24,7.7,NA,NA,,8.233333333,Jacksonville-4684,Black coral,Gulf Stream,1753,8.02
jack-4684-bc1_155,14.1,14,15.37,20.64,18.11,24.23,15.79,17.46285714,3.362857143,3.462857143,2.092857143,3.177142857,0.647142857,6.767142857,1.672857143,21.18285714,3.026122449,1.615789474,7.29,11.51,8.13,NA,NA,,8.976666667,Jacksonville-4684,Black coral,Gulf Stream,1563,7.85
GOM 7.5,18.41686111,13.95952778,17.60602778,22.07730556,23.15702778,25.16938889,21.75341667,20.3056508,1.888789686,6.346123016,2.699623016,1.771654764,2.851376984,4.863738094,1.447765874,21.86907143,3.124153062,2.097532895,5.864777778,11.32830556,11.83677778,0.904333333,1.605833333,,9.676620373,Gulf of Mexico-Disk 7,Black coral,Gulf of Mexico,356,NA
GOM 7.6,17.94711111,14.05127778,17.42752778,22.53930556,22.60652778,25.44813889,22.25766667,20.32536508,2.378253971,6.274087301,2.897837301,2.213940479,2.281162699,5.122773809,1.932301589,23.10035715,3.300051021,2.166019737,5.165777778,11.34355556,11.86977778,1.754833333,5.655666667,,9.459703706,Gulf of Mexico-Disk 7,Black coral,Gulf of Mexico,312,NA
GOM 7.7,18.06911111,14.42902778,17.49852778,21.48105556,22.30277778,25.55088889,21.62566667,20.13672222,2.067611114,5.707694444,2.638194444,1.344333336,2.166055556,5.414166666,1.488944446,20.82700001,2.975285715,2.233519737,4.723777778,10.81455556,11.71277778,5.577333333,4.521333333,,9.083703706,Gulf of Mexico-Disk 7,Black coral,Gulf of Mexico,269,NA
GOM 7.8,19.17211111,13.93177778,18.77727778,22.19005556,22.95077778,25.62338889,24.57016667,21.03079365,1.858682543,7.099015873,2.253515873,1.159261907,1.919984127,4.592595237,3.539373017,22.42242858,3.203204082,NA,NA,11.00155556,12.06677778,NA,7.234333333,,NA,Gulf of Mexico-Disk 7,Black coral,Gulf of Mexico,225,NA
GOM 1-1,20.91403333,15.57741333,17.79872,24.67922667,24.41636,26.43939333,26.43242,22.32250952,1.408476193,6.745096193,4.523789523,2.356717147,2.093850477,4.116883807,4.109910477,25.35472382,3.622103402,2.520626316,2.84196,9.743966667,14.29268,5.426583333,-2.491416667,,8.959535556,Gulf of Mexico-Disk 1,Black coral,Gulf of Mexico,2003,NA
GOM 1-2,22.17453333,17.980205,19.97422,25.474435,25.36641,29.053435,25.18992,23.60187976,1.427346431,5.621674761,3.627659761,1.872555239,1.764530239,5.451555239,1.588040239,21.35336191,3.050480273,1.967244737,9.22316,9.70005,13.009055,7.394083333,-2.489041667,,10.64408833,Gulf of Mexico-Disk 1,Black coral,Gulf of Mexico,2000,NA
GOM 1-3,20.30295,15.83783,19.00547,24.12206,24.12741,26.94156,24.37067,22.10113571,1.798185714,6.263305714,3.095665714,2.020924286,2.026274286,4.840424286,2.269534286,22.31431429,3.187759184,1.922106579,8.59746,8.36155,11.64618,5.372583333,-2.810916667,,9.535063333,Gulf of Mexico-Disk 1,Black coral,Gulf of Mexico,1997,NA
GOM 1-4,20.8667,16.00183,18.61372,24.33306,24.84891,27.59681,26.89558667,22.73665952,1.869959524,6.734829524,4.122939524,1.596400476,2.112250476,4.860150476,4.158927146,25.45545715,3.636493878,1.832534211,8.88646,9.0293,12.89001333,4.917583333,-2.228916667,,10.26859111,Gulf of Mexico-Disk 1,Black coral,Gulf of Mexico,1995,NA
GOM 1-5,21.3226,16.88108,20.36912,23.29096,25.05536,27.03016,24.68417,22.66192143,1.339321429,5.780841429,2.292801429,0.629038571,2.393438571,4.368238571,2.022248571,18.82592857,2.689418367,1.928222807,9.914626667,10.0658,13.69893,5.972083333,-0.016216667,,11.22645222,Gulf of Mexico-Disk 1,Black coral,Gulf of Mexico,1990,NA
GOM 1-6,21.66,16.88028,19.83212,25.70036,25.33096,28.26416,25.63767,23.32936429,1.669364286,6.449084286,3.497244286,2.370995714,2.001595714,4.934795714,2.308305714,23.23138571,3.318769388,1.625635088,11.67729333,8.8328,13.16768,5.877683333,1.368783333,,11.22592444,Gulf of Mexico-Disk 1,Black coral,Gulf of Mexico,1985,NA
GOM 1-7,20.60186667,17.37708,18.67672,22.88331,23.72849333,28.89506,27.18492,22.76392143,2.162054759,5.386841429,4.087201429,0.119388571,0.964571901,6.131138571,4.420998571,23.27219523,3.324599319,NA,NA,6.071133333,11.25934667,2.848083333,-2.858916667,,NA,Gulf of Mexico-Disk 1,Black coral,Gulf of Mexico,1980,NA
GOM 1-8,20.72103333,16.16893714,19.17100571,25.24572667,24.34891,27.64484571,23.65442,22.42212551,1.701092179,6.253188369,3.251119799,2.823601161,1.926784491,5.222720201,1.232294491,22.41080069,3.201542956,1.915558646,8.81276,9.093633333,12.72493,6.658654762,1.609011905,,10.21044111,Gulf of Mexico-Disk 1,Black coral,Gulf of Mexico,1975,NA
GOM 1-9,21.01336667,16.05524667,20.68822,23.17431,24.52016,27.12172667,24.72442,22.47106429,1.457697617,6.415817617,1.782844287,0.703245713,2.049095713,4.650662383,2.253355713,19.31271904,2.758959863,1.875253509,10.63629333,6.953466667,13.00543,6.301683333,0.230416667,,10.19839667,Gulf of Mexico-Disk 1,Black coral,Gulf of Mexico,1969,NA
POM 6,12.5402,12.25608,10.13672,8.235893333,9.12416,11.62406,12.29208667,10.88702857,1.653171428,1.369051428,0.750308572,2.651135239,1.762868572,0.737031428,1.405058098,10.32862477,1.475517824,1.842446491,0.334126667,-7.0354,1.032846667,NA,-33.14741667,,-1.889475555,POM,POM,Gulf of Mexico,NA,NA
W 40–200,12.3,8.7,11.9,8.7,8.5,8.6,10.2,9.842857143,2.457142857,1.142857143,2.057142857,1.142857143,1.342857143,1.242857143,0.357142857,9.742857143,1.391836735,,-0.2,3.4,2.7,,-10.5,,,POM,POM,Western North Atlantic,,2.6
W 200–500,11.4,7.8,11.7,7.9,7.4,8.4,9.5,9.157142857,2.242857143,1.357142857,2.542857143,1.257142857,1.757142857,0.757142857,0.342857143,10.25714286,1.465306122,,-0.8,2.3,2.6,,-10.8,,,POM,POM,Western North Atlantic,,2.7
W 500–1000,12.5,9,13.2,8.5,8.5,9.8,9.7,10.17142857,2.328571429,1.171428571,3.028571429,1.671428571,1.671428571,0.371428571,0.471428571,10.71428571,1.530612245,,0.3,2.9,1.3,,-11.6,,,POM,POM,Western North Atlantic,,2.8
W 1000–2000,14.8,9.9,14.7,11.9,8.5,10.2,11.7,11.67142857,3.128571429,1.771428571,3.028571429,0.228571429,3.171428571,1.471428571,0.028571429,12.82857143,1.832653061,,-0.4,2.1,3.2,,-13.9,,,POM,POM,Western North Atlantic,,3
W >2000,12,8.6,12.4,9.9,8.9,9.3,9.9,10.14285714,1.857142857,1.542857143,2.257142857,0.242857143,1.242857143,0.842857143,0.242857143,8.228571429,1.175510204,,-1.8,-0.8,0.4,,-14.5,,,POM,POM,Western North Atlantic,,4.3
C 40–200,8.8,6,8.6,5.7,5.8,5.9,6.6,6.771428571,2.028571429,0.771428571,1.828571429,1.071428571,0.971428571,0.871428571,0.171428571,7.714285714,1.102040816,,-1.1,1.4,-0.8,,-9.9,,,POM,POM,Central North Atlantic,,0.4
C 200–500,9.7,6.7,10.3,6,5.9,6.7,7.6,7.557142857,2.142857143,0.857142857,2.742857143,1.557142857,1.657142857,0.857142857,0.042857143,9.857142857,1.408163265,,-1.6,0.4,0.8,,-12.9,,,POM,POM,Central North Atlantic,,1.1
C 500–1000,11.8,7.7,11,7.8,7.7,8.2,9.1,9.042857143,2.757142857,1.342857143,1.957142857,1.242857143,1.342857143,0.842857143,0.057142857,9.542857143,1.363265306,,-1.8,0.6,1.2,,-15.5,,,POM,POM,Central North Atlantic,,0.9
C 1000–2000,12.6,6.4,11.6,8.2,4.3,8.6,8.7,8.628571429,3.971428571,2.228571429,2.971428571,0.428571429,4.328571429,0.028571429,0.071428571,14.02857143,2.004081633,,-0.8,0.8,1.5,,-15.1,,,POM,POM,Central North Atlantic,,1.3
C >2000,13.4,8.4,11.9,8.7,8.7,9.9,10,10.14285714,3.257142857,1.742857143,1.757142857,1.442857143,1.442857143,0.242857143,0.142857143,10.02857143,1.432653061,,-0.9,-1.4,0.7,,-16.7,,,POM,POM,Central North Atlantic,,1.9
E 40–200,12.2,9.2,13,8.9,8.7,9.3,10.8,10.3,1.9,1.1,2.7,1.4,1.6,1,0.5,10.2,1.457142857,,0.1,3.9,2.6,,-9.8,,,POM,POM,Eastern North Atlantic,,3.1
E 200–500,13.2,9.8,12.2,9,8.5,10,10.1,10.4,2.8,0.6,1.8,1.4,1.9,0.4,0.3,9.2,1.314285714,,-0.3,4,3.2,,-10,,,POM,POM,Eastern North Atlantic,,3.5
E 500–1000,13.7,10,12.7,8.8,9.2,10.9,11,10.9,2.8,0.9,1.8,2.1,1.7,0,0.1,9.4,1.342857143,,0,3.9,4,,-10.2,,,POM,POM,Eastern North Atlantic,,3.8
E 1000–2000,15.1,11.1,13.9,10.8,10.6,10.9,11.6,12,3.1,0.9,1.9,1.2,1.4,1.1,0.4,10,1.428571429,,0.7,1.7,2.9,,-12.3,,,POM,POM,Eastern North Atlantic,,4.1
E >2000,15.4,10.7,14.1,11.4,11.6,11.3,12.6,12.44285714,2.957142857,1.742857143,1.657142857,1.042857143,0.842857143,1.142857143,0.157142857,9.542857143,1.363265306,,0.2,3,3.2,,-12.6,,,POM,POM,Eastern North Atlantic,,3.9
T1100-A7,21.8,17.9,20.5,21.4,20.1,21.2,22.4,,,,,,,,,,,,10.1,16.5,13.6,9,11.8,-10.9,,T1100-A7,Bamboo coral,Coastal California,2007,
T1100-A7,21.9,17.6,20.5,20.8,20.6,21.1,21.7,,,,,,,,,,,,9.2,16.2,13.6,3.3,3.3,-12.1,,T1100-A7,Bamboo coral,Coastal California,1992,
T1100-A7,20.9,18,20.8,21.9,20.9,21,25.2,,,,,,,,,,,,7.6,20.7,14.9,7,13.8,-11.5,,T1100-A7,Bamboo coral,Coastal California,1983,
T1100-A7,22,18.6,22.2,22.7,21.2,21.6,25.5,,,,,,,,,,,,7.8,21.3,15.1,13.8,14.7,-9.3,,T1100-A7,Bamboo coral,Coastal California,1974,
T1100-A7,20.1,16.8,19.4,20.7,18.6,19.9,21.3,,,,,,,,,,,,10.5,15.4,12.7,3.7,11.3,-10.2,,T1100-A7,Bamboo coral,Coastal California,1972,
T1100-A7,21.7,17.4,22.2,23.3,21,21.3,25.4,,,,,,,,,,,,9.5,21.6,15.7,5.3,17.2,-10.7,,T1100-A7,Bamboo coral,Coastal California,1965,
T1100-A7,22.7,19,21.7,23.9,22.5,21.6,26.8,,,,,,,,,,,,7.6,22.4,16.4,3,15,-13.7,,T1100-A7,Bamboo coral,Coastal California,1964,
T1100-A7,23.3,20,21.9,25.3,23.3,23.2,28,,,,,,,,,,,,7.6,22.3,17,3.3,8.1,-14.3,,T1100-A7,Bamboo coral,Coastal California,1962,
T1100-A7,23.6,19.4,21.9,24.6,23.6,22.3,27.4,,,,,,,,,,,,7.5,21.9,16.2,-12.7,14.5,,,T1100-A7,Bamboo coral,Coastal California,1961,
T1100-A7,25.3,21.1,24.1,26.4,26.1,24.3,29.4,,,,,,,,,,,,9,23.1,17.1,4.6,17.1,-13.6,,T1100-A7,Bamboo coral,Coastal California,1959,
T1100-A7,23.1,18.8,18.5,23.8,22.5,21.8,26.5,,,,,,,,,,,,8.3,21.4,15.8,-11.5,18.3,,,T1100-A7,Bamboo coral,Coastal California,1956,
T1100-A7,22.2,18.5,21.2,20.9,19.1,21.3,22.4,,,,,,,,,,,,10.7,16.2,14.6,1.2,12.7,-9.7,,T1100-A7,Bamboo coral,Coastal California,1948,
T1100-A7,22.7,18.5,21.2,22.6,21.9,21.1,25.9,,,,,,,,,,,,9.3,19.7,15.3,6.9,14.5,-12.6,,T1100-A7,Bamboo coral,Coastal California,1944,
T1100-A7,21.1,17.4,19.3,20,18.6,21,20.9,,,,,,,,,,,,8.8,15.2,12.5,4.1,11,-8.8,,T1100-A7,Bamboo coral,Coastal California,1940,
T1100-A4,19.7,15.3,18.9,20.4,19.2,19.7,22.1,,,,,,,,,,,,7.6,14.6,13.6,6.9,11.4,-12.9,,T1100-A4,Bamboo coral,Coastal California,1981,
T1100-A4,20.5,16.4,20,20.8,19.9,20.4,22.5,,,,,,,,,,,,9,15.1,14.1,9.7,12.7,-11.8,,T1100-A4,Bamboo coral,Coastal California,1972,
T1100-A4,20.9,17.1,20.1,22.2,20.3,20.8,22.7,,,,,,,,,,,,9.4,15.6,14.3,9.2,12.9,-10.3,,T1100-A4,Bamboo coral,Coastal California,1963,
T1100-A4,21.1,16.6,20.4,21.7,20.7,20.8,22.6,,,,,,,,,,,,9.8,16.3,14.3,6.1,12.5,-10.2,,T1100-A4,Bamboo coral,Coastal California,1939,
T1100-A4,20,16,19.2,21.1,19.4,20.2,22.3,,,,,,,,,,,,9.6,14.8,13.9,9.1,12.1,-11.9,,T1100-A4,Bamboo coral,Coastal California,1930,
T1100-A4,20.8,18.9,21.9,21.9,20.5,22.1,23.5,,,,,,,,,,,,14.7,17.5,11.9,-10.6,13.3,,,T1100-A4,Bamboo coral,Coastal California,1916,
T1100-A4,19.7,16,19.3,20,18.9,19.7,21.4,,,,,,,,,,,,8.6,15.3,13.6,8.9,12.8,-11.1,,T1100-A4,Bamboo coral,Coastal California,1898,
T1100-A4,20.4,16.9,19.7,21,19.7,20.5,22.7,,,,,,,,,,,,9.7,16.2,14.2,6.3,12.5,-11,,T1100-A4,Bamboo coral,Coastal California,1893,
T1100-A4,21.4,16.8,19.4,20.9,21,21.2,22.8,,,,,,,,,,,,9.6,16.3,14.6,8.4,12.3,-9.7,,T1100-A4,Bamboo coral,Coastal California,1879,
T1100-A4,21.9,17.5,20.4,21.9,20.3,21.8,23,,,,,,,,,,,,10.1,16.5,15.2,3.8,12.7,-11.1,,T1100-A4,Bamboo coral,Coastal California,1875,
T1100-A4,21.3,17.4,20.1,20.9,20.3,21.5,22.7,,,,,,,,,,,,10.4,16.3,15.2,4.9,13.2,-8.8,,T1100-A4,Bamboo coral,Coastal California,1865,
T1100-A4,20.8,17.2,20.3,21.5,20,21.7,23.2,,,,,,,,,,,,9.4,15.1,14.2,8.9,12.5,-10.7,,T1100-A4,Bamboo coral,Coastal California,1852,
T1100-A4,22.6,18.6,21.2,23.1,21,22.8,23.2,,,,,,,,,,,,12.1,16.9,15.2,4.7,12.2,-8,,T1100-A4,Bamboo coral,Coastal California,1842,
T1100-A4,21.7,17.9,20.5,21.2,20.9,21.9,23.4,,,,,,,,,,,,11.3,16.4,14.5,13.3,11.5,-10.5,,T1100-A4,Bamboo coral,Coastal California,1828,
T1100-A4,22.6,18.7,19.6,21.6,19.7,22.7,22.2,,,,,,,,,,,,10.9,17,14.1,11.4,11.2,-10.2,,T1100-A4,Bamboo coral,Coastal California,1815,
